fila;clasificacion;score;zona_excel;marca_excel;rs2;rs1;cod_erp;desc_erp;zona_erp;marca_erp;marca_ok;total
203;SIN_MATCH;29;MARGARITA;ADMINISTRATIVA;"INV. OPTIMA 18, C.A";"INV. OPTIMA 18, C.A";356;"Importadora SG 2026, C.A";;MAYORES;NO;0
221;SIN_MATCH;33;;;"METAS, C.A.";"METAS, C.A.";11;cMULTIMARCAS;;MULTIMARCAS;NO;
46;SIN_MATCH;35;MARACAIBO;WAIKIKI;"ASSFSTORE, C.A";;216;"Master Store Oriente 2024, C.A.";;MAYORES;NO;14390589.57
205;SIN_MATCH;35;MARGARITA;ADMINISTRATIVA;"TROPICS 2022, C.A (TIENDA/C) OPERATIVOS";"TROPICS CENTER, C.A. (TIENDA CERRADA)";223;"Representaciones Sport Vip,C.A.";;MAYORES;NO;5404555.94
231;SIN_MATCH;35;;;"ROYAL CANADIAN, (TUMI, SAM)";;206;"Royal Group Oriente, C.A";;TOP GROUP;NO;
243;SIN_MATCH;35;;;"TROPICS 2022, C.A (TIENDA/C) OPERATIVOS";;223;"Representaciones Sport Vip,C.A.";;MAYORES;NO;
237;SIN_MATCH;36;;;EMPRESAS;EMPRESAS;356;"Importadora SG 2026, C.A";;MAYORES;NO;
208;SIN_MATCH;37;MARGARITA;ADMINISTRATIVA;CAFETIN CORPORATIVO;;192;"Master Sport VIP 2022, C.A.";;TOP GROUP;NO;275.7
240;SIN_MATCH;37;;;CAFETIN CORPORATIVO;;42;"In Sport, C.A.";MARGARITA;REEBOK;NO;
114;SIN_MATCH;40;CARACAS;WAIKIKI;"COPOAZU, C.A.";;24;cSPORTLAND;;;NO;2338249.43
219;SIN_MATCH;40;;;EMPRESAS GRUPO MAYOR;EMPRESAS;130;"Sport Grupo Barquisimeto, C.A. 2023";BARQUISIMETO;CALVIN KLEIN;NO;
245;SIN_MATCH;43;;;ADM BQT;ADM BQT;117;"Com Bbw Bqto, C.A.2023";BARQUISIMETO;INTENZZA;NO;
250;SIN_MATCH;43;;;ADM SAN CRT;ADM SAN CRT;240;"Adi Fo Ccs 2024,C.A.";CARACAS;ADIDAS;NO;
230;SIN_MATCH;45;;;"SUPREME, C.A. (COTTON, AR, LU)";;221;"Supreme Group, C.A.";;MAYORES;NO;
249;SIN_MATCH;45;;;ADM VLC;ADM VLC;171;"Adi la Vela 2024, C.A. 2024";MARGARITA;ADIDAS;NO;
146;SIN_MATCH;46;CARACAS;WAIKIKI;"MODA LCW LIDER CCS, C.A";;90;"Clik Lider, C.A. 2023";CARACAS;CLARKS;NO;2674155.81
35;SIN_MATCH;50;PTO ORDAZ;WAIKIKI;"WWKIKI GROUP PUERTO ORDAZ, C.A";;24;"Top Group, C.A.";;TOP GROUP;NO;6682075.88
207;SIN_MATCH;50;MARGARITA;ADMINISTRATIVA;"INVERSIONES 2567P, C.A (EL AVION)";;82;"Inversiones 268907, C.A.2023";MARGARITA;FITLAB;NO;492.79
222;SIN_MATCH;50;;;"GRUPO NASA, C.A.";"GRUPO NASA, C.A.";130;"Sport Grupo Barquisimeto, C.A. 2023";BARQUISIMETO;CALVIN KLEIN;NO;
229;SIN_MATCH;50;;;"SUPREME, C.A. (EH, ISTIKBAL)";;132;"Eh Mgta, c.a. 2023";MARGARITA;ISTIKBAL;NO;
210;SIN_MATCH;52;MARGARITA;FITLAB;"INV. 268907, C.A.";"INV. 268907, C.A.";82;"Inversiones 268907, C.A.2023";MARGARITA;FITLAB;SI;2832763.02
70;SIN_MATCH;53;VALENCIA;THE CHILDREN´S PLACE;"INV. TCP VALENCIA, C.A";"JUST VALENCIA, C.A. (CERRADA EN BANCO)";68;"Inv. Clk Valencia, C.A. 2023";VALENCIA;CLARKS;NO;1192900.42
170;SIN_MATCH;53;MARGARITA;ADIDAS;"S.Y.W,C.A.";"S.Y.W,C.A.";38;"Syw, C.A. 2023";MARGARITA;ADIDAS;SI;1520836.28
228;SIN_MATCH;53;;;"SUPREME, C.A. (WAIKIKI)";;221;"Supreme Group, C.A.";;MAYORES;NO;
192;SIN_MATCH;54;MARGARITA;WAIKIKI;"WWKIKI GROUP MGTA, C.A";;141;"RBK Group  Mgta, C.A.2023";MARGARITA;REEBOK;NO;5079973.99
164;SIN_MATCH;55;CUMANA;ADMINISTRATIVA;"ADM GD CUMANA, C.A.";"ASIA CHIC, C.A.";149;ADMON GD MARACAY C.A 2023;MARACAY;DISTRIBUIDORAS;NO;866048.09
242;SIN_MATCH;56;;;ADM THA M;ADM THA M;96;"Com. Tha Bqto, C.A.2023";BARQUISIMETO;TOMMY;NO;
241;SIN_MATCH;58;;;"INVERSIONES 2567P, C.A (EL AVION)";;124;"Inversiones Super Star, C.A. 2023";CUMANA;ADIDAS;NO;
26;DUDOSA;60;PTO ORDAZ;TOMMY HILFIGER;"DISTRIBUIDORA TH PUERTO ORDAZ,C.A.";"DADA GROUP, C.A.";24;"Top Group, C.A.";;TOP GROUP;NO;2973181.2
79;DUDOSA;63;VALENCIA;SAMSONITE;"INVERSIONES SAMSONITE VALENCIA, C.A";;199;"Inversiones Aeo Valencia, C.A.";VALENCIA;SPORTLAND;NO;832256.98
162;DUDOSA;63;CUMANA;THE CHILDREN´S PLACE;"INV. TCP CNA, C.A";"ADICUMANA, C.A.";266;"Inversiones tcp cna, C.A.";CUMANA;TCP;NO;1277731.01
106;DUDOSA;67;CARACAS;THE CHILDREN´S PLACE;"TPC SBL, C.A.";"GRUPO KINGSTON, C.A";53;"Tcp Sbl, C.A.2023";CARACAS;TCP;NO;886838.08
